P (Pa), T (K), S (J/K/kg), rho (kg/m^3), Pe, Te, Se, rho_e  
461859795278.0,14657.801094,5377.99987779,6509.14815436,3702895162.36,584.519504115,596.349306447,53.3604797888,
463085049235.0,14707.4670034,5383.12791356,6512.38450474,3711202572.27,586.434505137,596.343675428,53.4093958618,
464308114519.0,14756.2610321,5388.19180504,6515.66258131,3719527856.75,588.355598187,596.338212026,53.4584669265,
465532175291.0,14805.6478574,5393.29259657,6518.86440044,3727871261.32,590.282839492,596.332933308,53.5076965608,
466753331652.0,14854.5704899,5398.73946594,6522.18887428,3736233027.66,592.216286132,596.327831585,53.5570882772,
467980349228.0,14903.8589701,5403.73750822,6525.46773669,3744613393.62,594.155996021,596.322902011,53.6066455217,
469211370738.0,14953.4734884,5408.87050647,6528.68037767,3753012593.03,596.102027889,596.318152418,53.6563716726,
470444487459.0,15002.6169357,5414.32496785,6531.96002987,3761430855.69,598.054441261,596.313576214,53.7062700397,
471669339842.0,15052.406921,5419.62978349,6535.26434239,3769868407.25,600.013296445,596.309157088,53.7563438637,
472907923865.0,15101.6050084,5424.84403836,6538.51224419,3778325469.08,601.978654507,596.304903902,53.8065963147,
474140758364.0,15151.5076094,5429.95122216,6541.77985515,3786802258.28,603.950577258,596.30081509,53.8570304918,
475374801053.0,15201.7644496,5435.19021263,6545.071601,3795298987.51,605.929127234,596.296885344,53.9076494221,
476613783423.0,15252.1858756,5440.54626648,6548.30883026,3803815864.94,607.914367678,596.293118871,53.95845606,
477850620366.0,15302.0911482,5445.78985863,6551.54000564,3812353094.17,609.906362525,596.289497622,54.0094532862,
479087991334.0,15352.1000964,5450.91708894,6554.75925552,3820910874.15,611.905176378,596.286035869,54.0606439071,
480329833110.0,15402.8590852,5456.12228712,6557.99376855,3829489399.12,613.9108745,596.282728281,54.1120306542,
481572754327.0,15453.7820896,5461.37335331,6561.28331781,3838088858.5,615.923522786,596.279580296,54.1636161832,
482815309963.0,15504.3390327,5466.65514591,6564.44346118,3846709436.83,617.943187755,596.276602672,54.2154030732,
484060957822.0,15554.6338596,5471.80001102,6567.69613054,3855351313.7,619.969936526,596.27378631,54.2673938266,
485312134522.0,15605.425555,5476.68311574,6570.97118407,3864014663.71,622.003836806,596.271112627,54.319590868,
486560066997.0,15656.803862,5481.68502144,6574.25460139,3872699656.35,624.044956868,596.268608522,54.3719965438,
487809167132.0,15708.3113565,5486.67175677,6577.46033348,3881406455.96,626.093365538,596.266240531,54.4246131215,
489060107327.0,15759.8618237,5491.62645441,6580.69105677,3890135221.67,628.149132177,596.264013009,54.4774427895,
490311886572.0,15811.1362629,5496.82586275,6583.9551475,3898886107.33,630.212326662,596.26193431,54.5304876564,
491564510761.0,15862.0705532,5501.96068637,6587.21855596,3907659261.45,632.283019374,596.260011228,54.5837497503,
492823839285.0,15913.7512431,5507.10278738,6590.51218112,3916454827.14,634.361281176,596.258238639,54.6372310189,
494077032755.0,15965.3680891,5512.05562166,6593.80366032,3925272942.06,636.447183403,596.256614324,54.6909333287,
495334564826.0,16015.9971962,5516.95813919,6597.02587569,3934113738.37,638.540797839,596.255130224,54.7448584647,
496594652612.0,16067.3428975,5521.97048866,6600.28652752,3942977342.65,640.642196704,596.253795166,54.7990081302,
497851879379.0,16118.7416634,5527.21509597,6603.49168694,3951863875.89,642.751452641,596.2526383,54.8533839461,
499114961789.0,16171.22225,5532.38218545,6606.65702223,3960773453.41,644.868638694,596.251618875,54.9079874512,
500376506009.0,16222.3602712,5537.32000243,6609.94225605,3969706184.82,646.993828295,596.25073485,54.9628201014,
501636661061.0,16275.3547703,5542.37790323,6613.17704705,3978662173.98,649.127095251,596.249993694,55.0178832697,
502904120224.0,16328.0259809,5547.51992148,6616.39954273,3987641518.97,651.268513722,596.249375485,55.0731782462,
504169711863.0,16380.0124738,5552.35918662,6619.61058399,3996644312.03,653.418158213,596.248883482,55.1287062375,
505439048892.0,16431.8003435,5557.21678099,6622.86964632,4005670639.52,655.576103552,596.248512397,55.1844683667,
506711417242.0,16483.8413247,5562.12844916,6626.14578763,4014720581.91,657.74242488,596.248276873,55.2404656736,
507988623017.0,16535.8604596,5567.03305777,6629.3017244,4023794213.71,659.917197632,596.248181212,55.2966991142,
509265576822.0,16587.7846845,5571.99063757,6632.53035616,4032891603.48,662.100497525,596.248223918,55.3531695609,
510541704978.0,16640.7555851,5577.04673366,6635.73524497,4042012813.76,664.292400542,596.248383387,55.4098778023,
511818768921.0,16693.5082023,5582.05502761,6638.90826635,4051157901.06,666.492982915,596.248662938,55.4668245435,
513093277798.0,16745.5083692,5587.00183065,6642.06639466,4060326915.84,668.702321116,596.249069277,55.5240104055,
514372739290.0,16797.6473421,5591.88951054,6645.26836493,4069519902.5,670.920491836,596.249589409,55.5814359263,
515650649534.0,16850.2823863,5597.01783756,6648.46837779,4078736899.31,673.147571978,596.250222367,55.6391015597,
516932184643.0,16903.2225097,5601.70746918,6651.76684926,4087977938.43,675.383638635,596.250967193,55.6970076767,
518212032287.0,16956.0813379,5606.57433005,6654.9633104,4097243045.91,677.628769083,596.251832864,55.7551545647,
519497786077.0,17009.9592515,5611.52042851,6658.17942472,4106532241.62,679.883040763,596.252808467,55.8135424281,
520784336438.0,17062.1703119,5616.2931477,6661.37811226,4115845539.28,682.146531268,596.25391959,55.8721713884,
522072114428.0,17115.3486516,5621.35344136,6664.56872159,4125182946.43,684.419318331,596.255147932,55.9310414845,
523361247632.0,17168.6963826,5626.36108927,6667.737735,4134544464.46,686.701479811,596.256499209,55.9901526728,
524653842666.0,17223.1286971,5631.40411231,6670.92345553,4143930088.55,688.993093679,596.257961725,56.0495048278,
525946406482.0,17276.6835163,5636.4255061,6673.97942736,4153339807.68,691.294238006,596.259551949,56.1090977421,
527238701970.0,17330.3049845,5641.32715347,6677.2635486,4162773604.68,693.604990949,596.261261549,56.1689311268,
528528459623.0,17384.5266288,5646.33405614,6680.42656239,4172231456.15,695.925430741,596.26307426,56.2290046122,
529825518932.0,17438.391679,5651.42179115,6683.71962745,4181713332.53,698.255635675,596.264999975,56.2893177475,
531116209122.0,17491.980759,5656.18938777,6687.01042934,4191219198.06,700.595684093,596.267038136,56.3498700022,
532409749448.0,17546.5003225,5660.98196765,6690.21012094,4200749010.84,702.945654375,596.26918733,56.4106607657,
533708958547.0,17601.0200207,5665.90022948,6693.38790949,4210302722.78,705.305624926,596.271435927,56.471689348,
535006796240.0,17655.5944914,5670.65986992,6696.56927765,4219880279.63,707.675674164,596.273805227,56.5329549806,
536308456604.0,17709.4729042,5675.49863672,6699.8370818,4229481621.04,710.05588051,596.276283644,56.5944568166,
537609643038.0,17763.7901136,5680.23525523,6703.05541814,4239106680.5,712.446322372,596.278881609,56.6561939314,
538913624093.0,17818.2393959,5684.9631488,6706.27088101,4248755385.44,714.847078141,596.281575294,56.7181653234,
540217547487.0,17872.3317797,5689.88345524,6709.51447277,4258427657.17,717.258226174,596.284374424,56.7803699144,
541522066666.0,17927.5278646,5694.61368602,6712.68696345,4268123410.96,719.679844784,596.287273249,56.8428065505,
542830008860.0,17981.7348225,5699.33665785,6715.85002182,4277842556.05,722.112012233,596.290270542,56.9054740024,
544141900569.0,18036.1993295,5703.88727339,6719.01603181,4287584995.67,724.554806717,596.293365084,56.9683709665,
545458852420.0,18091.6090129,5708.82365601,6722.20759251,4297350627.09,727.008306357,596.296563461,57.0314960653,
546773502781.0,18146.7971701,5713.62090362,6725.38857603,4307139341.6,729.472589192,596.299866594,57.0948478486,
548086998855.0,18202.3560239,5718.25058644,6728.57933872,4316951024.62,731.947733165,596.303271865,57.1584247935,
549401990058.0,18258.211626,5722.97627112,6731.78144562,4326785555.68,734.433816114,596.306770888,57.2222253059,
550719993456.0,18313.4084253,5727.55676608,6734.96103294,4336642808.47,736.930915766,596.31037011,57.286247721,
552034588377.0,18369.1922322,5732.14808018,6738.11947511,4346522650.89,739.439109722,596.314056403,57.3504903043,
553347669877.0,18424.6546289,5736.72957175,6741.23847293,4356424945.09,741.958475454,596.317828961,57.4149512523,
554669655892.0,18480.1514982,5741.38604578,6744.43313534,4366349547.52,744.48909029,596.321698499,57.4796286932,
555991239362.0,18535.6786629,5746.05851777,6747.67220578,4376296308.95,747.031031411,596.325657457,57.5445206886,
557319236104.0,18591.4796429,5750.76404848,6750.8567383,4386265074.57,749.58437584,596.329700243,57.6096252335,
558645297963.0,18647.173496,5755.25922881,6754.07267565,4396255683.97,752.149200431,596.333832445,57.6749402578,
559971280696.0,18702.9661207,5759.71043807,6757.27205527,4406267971.27,754.725581868,596.338058645,57.7404636272,
561294986971.0,18758.7059715,5764.4582014,6760.45662026,4416301765.13,757.313596649,596.342382531,57.8061931441,
562625393432.0,18814.6508746,5769.20532666,6763.63647668,4426356888.8,759.913321084,596.346796622,57.8721265487,
563957588716.0,18871.23427,5774.02872761,6766.79690021,4436433160.23,762.524831286,596.351290553,57.9382615202,
565290803648.0,18927.3531419,5778.8113218,6769.99403213,4446530392.06,765.148203164,596.355886234,58.0045956775,
566622318243.0,18983.3808229,5783.69913226,6773.15795121,4456648391.75,767.783512415,596.360560189,58.0711265807,
567957508176.0,19040.0522274,5788.44243689,6776.3863111,4466786961.61,770.430834519,596.365317711,58.137851732,
569289890765.0,19096.6683921,5793.14984373,6779.68418055,4476945898.88,773.090244732,596.370156778,58.2047685767,
570624070737.0,19153.1431772,5797.84332414,6783.00152736,4487124995.8,775.761818077,596.375071885,58.2718745049,
571958039210.0,19210.2946137,5802.34054401,6786.1416696,4497324039.67,778.445629343,596.380062313,58.3391668521,
573299412595.0,19267.5180957,5807.00340741,6789.31971576,4507542812.93,781.141753075,596.385138129,58.4066429006,
574643034869.0,19324.9996524,5811.59144083,6792.44423703,4517781093.27,783.850263571,596.390287806,58.474299881,
575982666849.0,19382.4527379,5816.34089269,6795.58519665,4528038653.65,786.571234875,596.39551064,58.5421349729,
577324750359.0,19439.168347,5820.8029951,6798.75339678,4538315262.42,789.304740772,596.400816828,58.6101453068,
578663859311.0,19495.3944895,5825.25744682,6801.99858011,4548610683.39,792.050854784,596.406194756,58.6783279648,
580004989381.0,19552.5497543,5829.70426582,6805.183515,4558924675.92,794.809650165,596.41164374,58.7466799823,
581353348624.0,19609.3418837,5834.35688722,6808.34247207,4569256994.99,797.581199897,596.417168061,58.8151983491,
582697835748.0,19666.7225948,5839.02181063,6811.53205884,4579607391.33,800.365576684,596.422762074,58.8838800111,
584046385301.0,19723.8441113,5843.54070953,6814.70801679,4589975611.47,803.16285295,596.428434956,58.9527218711,
585396494415.0,19780.974247,5848.0333017,6817.82434818,4600361397.82,805.973100834,596.434176181,59.0217207907,
586746428836.0,19837.7570721,5852.54368507,6820.97514147,4610764488.83,808.796392188,596.440003297,59.0908735915,
588095972571.0,19896.1838576,5856.9121713,6824.18278701,4621184619.03,811.632798571,596.44590137,59.1601770564,
589448552970.0,19953.4066016,5861.40880619,6827.47140803,4631621519.13,814.48239125,596.451865787,59.2296279312,
590806156212.0,20011.0573099,5865.96774795,6830.68111645,4642074916.17,817.345241193,596.457895913,59.2992229262,
592157881578.0,20068.9853238,5870.62925999,6833.82595795,4652544533.56,820.221419068,596.463991124,59.3689587174,
593516591410.0,20126.7010304,5875.28239905,6837.02042493,4663030091.22,823.110995243,596.470155187,59.4388319481,
594873663550.0,20184.6819676,5879.81019195,6840.14311537,4673531305.7,826.014039781,596.476393291,59.5088392305,
596237377591.0,20243.1861491,5884.24642252,6843.3963173,4684047890.24,828.930622437,596.482694594,59.578977147,
597592937126.0,20301.3536893,5888.6825543,6846.61137703,4694579554.93,831.86081266,596.489058498,59.6492422522,
598955925159.0,20359.5342593,5893.30646217,6849.79020303,4705126006.79,834.804679592,596.49548441,59.7196310739,
600315618200.0,20417.7728453,5897.83828357,6852.98207091,4715686949.9,837.762292059,596.501977669,59.7901401153,
601683788247.0,20476.298561,5902.2317825,6856.15473775,4726262085.52,840.733718582,596.508542201,59.8607658559,
603047019558.0,20534.3035599,5906.69677923,6859.3312898,4736851112.2,843.719027366,596.515171699,59.9315047539,
604409186267.0,20593.6534234,5911.18730053,6862.49391021,4747453725.89,846.718286305,596.521866592,60.0023532472,
605778193337.0,20653.4369081,5915.63387127,6865.69845989,4758069620.09,849.731562979,596.528625314,60.0733077554,
607144374760.0,20711.9996011,5920.07914363,6868.94637708,4768698485.95,852.758924658,596.535442528,60.1443646814,
608512802970.0,20771.3232252,5924.58552682,6872.15747261,4779340012.4,855.800438296,596.542322416,60.2155204131,
609885263806.0,20830.1600782,5929.08478707,6875.33749798,4789993886.29,858.856170536,596.549259695,60.2867713251,
611257848484.0,20890.1178062,5933.53731391,6878.50818288,4800659792.51,861.926187712,596.556253829,60.3581137804,
612633991005.0,20949.370827,5937.89138479,6881.69980052,4811337414.14,865.010555844,596.563309848,60.4295441321,
614008744080.0,21008.9573586,5942.23667897,6884.9162549,4822026432.54,868.109340644,596.570426843,60.5010587253,
615381663123.0,21067.2794067,5946.59688712,6888.11173782,4832726527.55,871.222607516,596.577608561,60.5726538989,
616758211132.0,21127.3420168,5950.96944237,6891.34246406,4843437377.57,874.350421557,596.584845013,60.6443259872,
618139023976.0,21187.5020614,5955.24208996,6894.55452981,4854158659.73,877.492847558,596.592135698,60.7160713219,
619520807776.0,21247.1325886,5959.60148833,6897.69103484,4864890050.03,880.649950009,596.599480124,60.7878862336,
620900346207.0,21306.8895627,5963.78542153,6900.84368177,4875631223.47,883.8217931,596.606888414,60.8597670543,
622284448990.0,21367.4786061,5968.32739021,6903.94702128,4886381854.22,887.008440719,596.614349451,60.9317101186,
623665735228.0,21427.3977889,5972.75587932,6907.13929939,4897141615.74,890.209956463,596.621862762,61.0037117659,
625054528077.0,21487.3543833,5977.24360556,6910.40766551,4907910180.95,893.426403632,596.62943295,61.0757683422,
626444559107.0,21547.0901389,5981.69151353,6913.60188203,4918687222.38,896.65784524,596.637054475,61.1478762021,
627833681691.0,21606.5979917,5986.00330184,6916.79739047,4929472412.32,899.904344013,596.644726884,61.2200317107,
629228834808.0,21666.6321304,5990.28024817,6919.98604565,4940265422.96,903.165962393,596.652449733,61.2922312455,
630623390406.0,21727.1946091,5994.63268517,6923.16814061,4951065926.58,906.442762546,596.660222583,61.3644711985,
632013432115.0,21787.8302398,5999.01269652,6926.39152742,4961873595.69,909.734806361,596.668045005,61.4367479778,
633407303422.0,21847.3918202,6003.42084854,6929.55422117,4972688103.19,913.042155454,596.675922206,61.5090580103,
634800199553.0,21906.5708828,6007.63564591,6932.72643542,4983509122.55,916.364871178,596.683853637,61.5813977428,
636200378834.0,21965.9664946,6011.78936748,6935.91891022,4994336327.95,919.703014622,596.69183752,61.6537636451,
637596820903.0,22026.3065108,6016.11891836,6939.12017417,5005169394.5,923.056646616,596.699869274,61.7261522109,
638999135493.0,22087.6160118,6020.51886191,6942.2907226,5016007998.32,926.425827742,596.707948502,61.7985599609,
640401535757.0,22148.4481724,6024.83128161,6945.44916325,5026851816.83,929.810618329,596.716074815,61.8709834443,
641804657759.0,22208.637914,6029.13142656,6948.58457708,5037700528.8,933.211078468,596.724254275,61.9434192409,
643208317820.0,22267.9500606,6033.44966696,6951.76098282,5048553814.64,936.627268013,596.73248004,62.0158639635,
644610623570.0,22328.8504886,6037.69607787,6954.9266264,5059411356.49,940.059246585,596.740751741,62.0883142599,
646014733212.0,22389.9747275,6041.98591419,6958.09747724,5070272838.47,943.507073583,596.749069017,62.160766815,
647421345831.0,22450.530248,6046.2589168,6961.31162077,5081137946.8,946.970808186,596.757435787,62.2332183531,
648831598807.0,22509.8247444,6050.51913875,6964.45678854,5092006370.05,950.45050936,596.765847419,62.3056656399,
650241621129.0,22571.5830669,6054.90815618,6967.64979003,5102877799.27,953.946235865,596.774303571,62.3781054851,
651653470698.0,22631.2102507,6059.13727676,6970.90485023,5113751928.21,957.458046263,596.78280391,62.4505347441,
653065911518.0,22692.5072704,6063.27723777,6974.11870467,5124628453.51,960.985998923,596.791348111,62.5229503206,
654481478630.0,22754.6093435,6067.39874541,6977.22504095,5135507074.88,964.530152028,596.799935853,62.5953491689,
655898968841.0,22815.2920839,6071.41267727,6980.34695805,5146387495.33,968.090563583,596.808566824,62.6677282959,
657319278490.0,22877.1163635,6075.48952481,6983.5971788,5157269421.31,971.667291423,596.817240719,62.7400847638,
658732880864.0,22940.4300694,6079.64735238,6986.82860462,5168152562.99,975.260393218,596.825957241,62.8124156919,
660151412354.0,23003.1529559,6083.86093599,6990.00632202,5179036634.37,978.869926485,596.834716097,62.8847182596,
661566263830.0,23064.6161221,6088.01563481,6993.17053065,5189921353.58,982.495948589,596.843517003,62.9569897081,
662982345625.0,23125.1269292,6092.09720925,6996.3575323,5200806443.01,986.13851676,596.852364847,63.0292273434,
664403799250.0,23186.9587,6096.17005223,6999.53792777,5211691629.58,989.797688094,596.861254181,63.1014285381,
665826264283.0,23248.7448677,6100.27870319,7002.76531141,5222576644.9,993.473519563,596.870184744,63.1735907344,
667252371963.0,23309.2242525,6104.55699198,7005.92978941,5233461225.53,997.166068028,596.879156278,63.2457114462,
668675423293.0,23371.5381307,6108.93540105,7009.17189835,5244345113.18,1000.87539024,596.888168536,63.3177882615,
670098592718.0,23434.4341698,6113.30846132,7012.39902568,5255228054.91,1004.60154286,596.897221276,63.3898188453,
671528696462.0,23497.3835583,6117.47639811,7015.54102676,5266109803.39,1008.34458245,596.906314264,63.4618009415,
672955604398.0,23559.3626459,6121.76813351,7018.77553142,5276990117.1,1012.1045655,596.915452782,63.5337323762,
674386360367.0,23621.9046901,6125.86265141,7021.9245701,5287868760.56,1015.88154843,596.924631085,63.6056110594,
675820280659.0,23685.2087355,6130.11326921,7025.15151275,5298745504.56,1019.6755876,596.933848959,63.6774349883,
677253329340.0,23747.9729688,6134.37351079,7028.31906201,5309620126.4,1023.48673932,596.943106199,63.7492022495,
678682593631.0,23810.55959,6138.49347872,7031.54770066,5320492410.14,1027.31505986,596.952402605,63.8209110217,
680111038475.0,23872.3546549,6142.62053213,7034.71968772,5331362146.78,1031.16060545,596.961737987,63.8925595783,
681541997570.0,23935.4152176,6146.63242792,7037.94824552,5342229134.58,1035.02343231,596.97111216,63.9641462902,
682976179004.0,23998.2107572,6150.67877926,7041.19055325,5353093179.23,1038.90359665,596.980524947,64.0356696284,
684416157416.0,24061.3143502,6154.85427536,7044.35844875,5363954094.14,1042.80115467,596.989976177,64.1071281667,
685858377379.0,24124.3394543,6159.10610209,7047.55300079,5374811700.67,1046.71616259,596.999465688,64.1785205845,
687300574037.0,24186.1704159,6163.24546494,7050.71498621,5385665828.41,1050.64867664,597.008993324,64.2498456694,
688738903871.0,24249.2031056,6167.46819265,7053.91644443,5396516315.38,1054.59875309,597.018558936,64.3211023201,
690179094537.0,24312.7447688,6171.54779335,7057.04491363,5407363008.33,1058.56644824,597.028166682,64.3922895494,
691624061185.0,24376.3359459,6175.63827243,7060.27228588,5418205762.98,1062.55181846,597.037812117,64.4634064865,
693070601861.0,24439.8179611,6179.52320657,7063.51474267,5429044444.31,1066.55492018,597.047495113,64.5344523804,
694515687114.0,24503.1064333,6183.56357746,7066.66353183,5439878926.77,1070.57580989,597.057219551,64.6054266025,
695964359053.0,24568.1019353,6187.49472294,7069.8166766,5450709094.6,1074.61454417,597.066981306,64.6763286496,
697414322095.0,24632.7050167,6191.37264084,7073.02827254,5461534842.08,1078.67117972,597.076785677,64.7471581466,
698863740771.0,24697.6941909,6195.48069911,7076.25025967,5472356073.81,1082.74577332,597.086627147,64.81791485,
700310689858.0,24760.9219769,6199.49824612,7079.43688857,5483172704.96,1086.8383819,597.096505624,64.8885986503,
701760623583.0,24825.0563559,6203.35177669,7082.5929291,5493984661.58,1090.94906248,597.106421025,64.9592095752,
703216096742.0,24889.2935144,6207.29610961,7085.7615064,5504791880.89,1095.07787227,597.116373272,65.0297477927,
704674036736.0,24952.5700491,6211.24353052,7089.02954222,5515594311.51,1099.22486861,597.126362297,65.1002136143,
706136505464.0,25017.0874854,6215.16709296,7092.20175578,5526391913.83,1103.39010902,597.136388038,65.1706074976,
707590824230.0,25082.5846579,6219.2339057,7095.44235519,5537184660.21,1107.57365118,597.146455568,65.2409300501,
709043590900.0,25146.7594277,6223.33507485,7098.66613494,5547972535.35,1111.77555298,597.156559698,65.3111820316,
710501124183.0,25210.1688181,6227.37816377,7101.85378291,5558755536.56,1115.99587251,597.166700387,65.381364358,
711960284831.0,25275.175951,6231.21720998,7105.0338701,5569533674.02,1120.23466809,597.176877601,65.4514781042,
713417794552.0,25340.8796499,6235.02591726,7108.22393104,5580306971.17,1124.49199824,597.187097561,65.5215245071,
714882090500.0,25405.3848335,6239.01005102,7111.45093598,5591075464.92,1128.76792174,597.197353984,65.5915049694,
716348597266.0,25470.3586037,6243.04468501,7114.69946646,5601839206.05,1133.06249764,597.20764686,65.6614210624,
717807527486.0,25534.2866613,6246.93827652,7117.9109948,5612598259.43,1137.37578522,597.217976183,65.7312745295,
719274159081.0,25599.8218752,6250.76657927,7121.15309827,5623352704.42,1141.70784406,597.228341957,65.8010672896,
720745718657.0,25664.9807937,6254.6485203,7124.42464063,5634102635.13,1146.05873405,597.238744191,65.8708014403,
722214820193.0,25729.1779916,6258.69698987,7127.65699046,5644848160.78,1150.42851535,597.249182903,65.9404792611,
723683327684.0,25792.7070169,6262.70930028,7130.82099588,5655589406.0,1154.81724847,597.259658117,66.0101032176,
725155191703.0,25857.9438788,6266.81954878,7134.02208501,5666326511.15,1159.22499423,597.270169863,66.0796759638,
726633914694.0,25921.9575368,6270.92459628,7137.19714233,5677059632.68,1163.65181381,597.280723351,66.1492003467,
728110441900.0,25986.9527891,6274.78548668,7140.40462845,5687788943.46,1168.09776873,597.291313443,66.2186794088,
729592774607.0,26051.5944699,6278.79253837,7143.5565623,5698514633.09,1172.56292091,597.301940194,66.2881163925,
731063918508.0,26116.027842,6282.80570333,7146.78587946,5709236908.26,1177.04733262,597.312603665,66.3575147429,
732539439438.0,26183.9465009,6286.59657495,7149.99785446,5719955993.1,1181.55106655,597.323308492,66.426878112,
734025907987.0,26250.2939937,6290.52487377,7153.23435486,5730672129.5,1186.07418581,597.334050169,66.4962103618,
735508987864.0,26316.6810226,6294.25616611,7156.42817387,5741385577.48,1190.61675391,597.344834,66.5655155682,
736990786001.0,26381.2192907,6298.12252691,7159.65528913,5752096615.56,1195.17883481,597.355654835,66.6347980248,
738460625677.0,26447.0875567,6302.16096726,7162.85850761,5762805541.06,1199.76049292,597.366512772,66.7040622461,
739939443936.0,26513.086353,6306.25917016,7166.07321738,5773512670.51,1204.36179313,597.377407914,66.7733129718,
741426116080.0,26578.2134433,6310.35348313,7169.28637271,5784218340.01,1208.98280079,597.388340372,66.8425551701,
742911907728.0,26644.4439871,6314.41874246,7172.50826485,5794922905.54,1213.62358175,597.399310265,66.9117940415,
744400934813.0,26710.7366236,6318.44267922,7175.74512761,5805626743.39,1218.28420238,597.410322991,66.981035023,
745892273871.0,26778.6638791,6322.34301001,7178.94744683,5816330250.5,1222.96472954,597.421373399,67.0502837913,
747379980307.0,26845.4863254,6326.25982058,7182.12051921,5827033844.85,1227.66523065,597.43246163,67.1195462672,
748868652543.0,26912.23084,6330.24823337,7185.38847502,5837737965.81,1232.38577369,597.443592307,67.188828619,
750359145315.0,26979.0611641,6334.10907985,7188.66230883,5848443074.54,1237.12642716,597.454761097,67.2581372669,
751854786925.0,27045.6703733,6338.07331653,7191.92499493,5859149654.35,1241.88726017,597.465968164,67.3274788862,
753358217376.0,27113.4058632,6342.15196285,7195.09832697,5869858211.14,1246.66834242,597.477213675,67.396860412,
754855934039.0,27179.0981725,6346.02334478,7198.31683112,5880569273.71,1251.4697442,597.488497808,67.4662890427,
756356140546.0,27246.2298234,6349.74961693,7201.53427874,5891283394.19,1256.29153643,597.499820747,67.5357722438,
757852564238.0,27312.9716015,6353.55273373,7204.7532759,5902001148.45,1261.13379065,597.511182682,67.6053177525,
759352113113.0,27381.536141,6357.4017065,7207.9205336,5912723136.46,1265.99657906,597.522583811,67.6749335813,
760848579558.0,27449.4125857,6360.93218998,7211.14221891,5923449982.69,1270.87997451,597.53402434,67.744628022,
762352681604.0,27515.886148,6364.66310407,7214.36002344,5934182336.55,1275.78405055,597.545504482,67.8144096498,
763849443013.0,27583.8250414,6368.41885019,7217.59852787,5944920872.72,1280.70888138,597.557034447,67.8842873276,
765356630383.0,27650.6999117,6372.0611286,7220.80116368,5955666291.65,1285.65454193,597.568604442,67.9542702098,
766860798232.0,27717.8093397,6375.66761534,7223.98857188,5966419319.86,1290.62110784,597.580214701,68.0243677465,
768359583391.0,27785.5915589,6379.45072636,7227.18437002,5977180710.44,1295.6086555,597.591865466,68.0945896875,
769859784278.0,27852.9450916,6383.45465271,7230.42303576,5987951243.38,1300.61726201,597.603556987,68.1649460868,
771372949172.0,27919.8102481,6387.16269987,7233.64161533,5998731726.07,1305.64700526,597.615289519,68.2354473062,
772880797666.0,27987.317684,6390.75289395,7236.92759023,6009522993.63,1310.6979639,597.62706804,68.3061040197,
774395868479.0,28054.7421149,6394.58510997,7240.13249653,6020325909.38,1315.77021739,597.638888094,68.3769272178,
775912234476.0,28121.9458094,6398.40453651,7243.36444755,6031141365.22,1320.86384595,597.650749959,68.4479282115,
777421679589.0,28188.6164465,6402.06668326,7246.69920584,6041970282.08,1325.97893067,597.662653921,68.5191186363,
778937026387.0,28255.3336431,6405.78491111,7249.9470032,6052813610.32,1331.11555344,597.674600272,68.5905104567,
780456338026.0,28323.5217157,6409.55775001,7253.22219204,6063672330.16,1336.273797,597.686589312,68.6621159701,
781974201502.0,28390.9328524,6413.36042583,7256.4381654,6074547452.1,1341.45374496,597.698621348,68.7339478111,
783484001961.0,28458.9902184,6416.95872787,7259.64464303,6085440017.31,1346.65548179,597.710696695,68.8060189558,
784998825579.0,28527.6828766,6420.63455504,7262.86708385,6096351098.13,1351.87909285,597.722815674,68.8783427255,
786515808477.0,28594.7494106,6424.41851996,7266.02977646,6107281798.39,1357.12466443,597.734978614,68.9509327914,
788030555875.0,28662.5571187,6428.08196372,7269.40065828,6118233253.94,1362.3922837,597.747190613,69.0238031783,
789551491138.0,28733.1931356,6431.79835651,7272.5721212,6129206632.98,1367.68203879,597.759447238,69.0969682693,
791081025444.0,28800.6669404,6435.50988748,7275.78495746,6140203136.56,1372.99401876,597.771748841,69.1704428093,
792599859115.0,28868.6617017,6439.16243242,7278.95123277,6151223998.93,1378.32831363,597.78409578,69.2442419093,
794118433066.0,28937.6035086,6442.85438119,7282.23696438,6162270488.03,1383.6850144,597.796488419,69.318381051,
795636882403.0,29006.23372,6446.66999134,7285.473501,6173343905.87,1389.06421305,597.808927132,69.3928760901,
797158398286.0,29074.5245049,6450.44540501,7288.777297,6184445588.97,1394.46600258,597.821412297,69.4677432609,
798680763770.0,29142.1257822,6454.16908612,7292.13046682,6195576908.77,1399.890477,597.833944303,69.5429991801,
800205264292.0,29208.3022864,6457.78980296,7295.47678501,6206739272.06,1405.33773132,597.846523543,69.618660851,
801735498700.0,29276.4975694,6461.457096,7298.83983548,6217934121.39,1410.80786165,597.85915042,69.6947456671,
803263527069.0,29346.7426553,6465.3145097,7302.2116705,6229162935.46,1416.3009651,597.871825342,69.7712714165,
804791562518.0,29415.5139803,6469.06873331,7305.41230428,6240427229.58,1421.81713991,597.884553204,69.8482562856,
806327491833.0,29483.4142486,6472.74569955,7308.72057261,6251728556.07,1427.35648535,597.897329939,69.9257188629,
807859999892.0,29553.9530133,6476.05377038,7311.98707234,6263068504.62,1432.91910183,597.910155978,70.0036781428,
809390530447.0,29623.9762368,6479.7046301,7315.31813161,6274448702.78,1438.50509086,597.923031759,70.0821535296,
